candidate_id,candidate_name,constituency,district,party,s_o_d_o_w_o,age_detail,voter_enrolled,self_profession,spouse_profession,education_full,assets_total_inr,liabilities_total_inr,num_criminal_cases,education_summary,age_summary,criminal_cases_summary,total_assets_summary,liabilities_summary,candidate_url
2961,Stalin V,ARIYALUR,ARIYALUR,BSP,N.Velusamy,36,"Ariyalur constituency, at Serial no 746 in Part no 67","Manager, Private Company",House Wife,,,,0,Graduate,36,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2961
2962,Sudhakar M,ARIYALUR,ARIYALUR,Tamizhaga Vaazhvurimai Katchi,Maharajan,42,"Ariyalur constituency, at Serial no 290 in Part no 102",Agriculture & Renting Vehicle,House Wife,,,,0,10th Pass,42,0,"Rs 84,14,700 ~ 84 Lacs+","Rs 76,94,911 ~ 76 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2962
653,Thanga. Shanmuga Sundaram,ARIYALUR,ARIYALUR,Naadaalum Makkal Katchi,V. Thangarasu Udaiyar,48,"149 Ariyalur constituency, at Serial no 286 in Part no 183",Agriculture,Part-time LIC Agent,,,,5,Post Graduate,48,5,"Rs 1,48,37,499 ~ 1 Crore+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=653
2969,Vetrivel G,ARIYALUR,ARIYALUR,IND,Govindhan,48,"Ariyalur constituency, at Serial no 147 in Part no 90",Agriculture Wages,House Wife,,,,0,Graduate,48,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2969
2976,Anandhakumar R.,JAYANKONDAM,ARIYALUR,IND,Rajamanickam,56,"150Jayangondam constituency, at Serial no 487 in Part no 237",Farmer,Housewife,,,,0,Others,56,0,"Rs 65,00,000 ~ 65 Lacs+","Rs 35,000 ~ 35 Thou+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2976
2970,Azhagesan V.R.,JAYANKONDAM,ARIYALUR,Desiya Makkal Sakthi Katchi,Rengarajan,66,"150 Jayakondam constituency, at Serial no 21 in Part no 155",NIL,NIL,,,,0,Post Graduate,66,0,"Rs 18,62,500 ~ 18 Lacs+","Rs 3,24,000 ~ 3 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2970
2980,Chanthirasekar S.,JAYANKONDAM,ARIYALUR,IND,Sampath,45,"Jayangondam constituency, at Serial no 792 in Part no 286",Agriculture,NA,,,,0,Illiterate,45,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2980
443,Chinnadurai S.,JAYANKONDAM,ARIYALUR,BSP,Samikannu,53,"150 Jeyankondam constituency, at Serial no 342 in Part no 269",Wages,Housewife,,,,0,12th Pass,53,0,"Rs 11,74,169 ~ 11 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=443
2979,Gurunathan N.,JAYANKONDAM,ARIYALUR,IND,Narayanan,53,"Jayankondam constituency, at Serial no 108 in Part no 978",NA,NA,,,,0,5th Pass,53,0,"Rs 3,000 ~ 3 Thou+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2979
2977,Isac Newtan J.,JAYANKONDAM,ARIYALUR,IND,John Peter,30,"Jayangondam constituency, at Serial no 455 in Part no 175",Agriculture,NA,,,,0,Others,30,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2977
2975,Jayabalan G.,JAYANKONDAM,ARIYALUR,Vada Tamil Nadu Munnetra Katchi,Govindasamy,66,"171 Kumbakonam constituency, at Serial no 753 in Part no 84",Pension & Agriculture,Housewife,,,,0,Graduate,66,0,"Rs 93,63,540 ~ 93 Lacs+","Rs 6,61,490 ~ 6 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2975
2978,Kannan K.,JAYANKONDAM,ARIYALUR,IND,Mr. Karuppaiyan,39,"Jayangondam constituency, at Serial no 514 in Part no 173",Agriculture,NA,,,,1,Graduate,39,1,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2978
2971,Kavitha Rajendran G.,JAYANKONDAM,ARIYALUR,Tamilaga Vettri Kazhagam,Govinharasu,65,"150Jayangondam constituency, at Serial no 423 in Part no 75",Public Service,Business Sole Propreitor Sri Lakshmi Fly Ash,,,,0,10th Pass,65,0,"Rs 2,82,34,030 ~ 2 Crore+","Rs 57,41,610 ~ 57 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2971
2973,Pagutharivalan A.,JAYANKONDAM,ARIYALUR,Tamizhaga Vaazhvurimai Katchi,Anndurai,35,"148 Kunnam constituency, at Serial no 513 in Part no 290",Engineer Construction Industry,Housewife,,,,2,Graduate Professional,35,2,"Rs 90,53,920 ~ 90 Lacs+","Rs 7,24,850 ~ 7 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2973
442,Ravanan M.,JAYANKONDAM,ARIYALUR,Naadaalum Makkal Katchi,Mahalingam,59,"150 Jayankondam constituency, at Serial no 516 in Part no 267",T P Retirement Principal,Housewife,,,,0,12th Pass,59,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=442
2974,Ravisankar N.,JAYANKONDAM,ARIYALUR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Narayanan,54,"150Jayangondam constituency, at Serial no 540 in Part no 134",Agriculture,Agriculture /Contractor,,,,6,12th Pass,54,6,"Rs 5,81,55,069 ~ 5 Crore+","Rs 2,31,30,615 ~ 2 Crore+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2974
50,Revathi K.,JAYANKONDAM,ARIYALUR,Naam Tamilar Katchi,Kalaimani,37,"150. Jayangkondam constituency, at Serial no 26 in Part no 133",HomeMaker,Pharmacy,,,,0,Post Graduate,37,0,"Rs 3,09,000 ~ 3 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=50
2972,Sankar M.,JAYANKONDAM,ARIYALUR,Rashtriya Samaj Dal (R),Muthusamy,42,"150 Jayakondam constituency, at Serial no 823 in Part no 130",NIL,NIL,,,,0,5th Pass,42,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2972
765,Vaithilingam G.,JAYANKONDAM,ARIYALUR,Pattali Makkal Katchi,Thiru Ganesan,52,"Jayakondam constituency, at Serial no 747 in Part no 55","Politician, Agriculturalist and Business Activities",Agriculturalist and Business Activities,,,,1,12th Pass,52,1,"Rs 4,77,48,613 ~ 4 Crore+","Rs 19,17,424 ~ 19 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=765
2982,Venkatajalapathi R.,JAYANKONDAM,ARIYALUR,IND,Ramalingam,59,"150Jayangondam constituency, at Serial no 78 in Part no 37",Public Service,Business Sole Propreitor Sri Venkateshwara Maligai Stores,,,,0,8th Pass,59,0,"Rs 37,24,145 ~ 37 Lacs+","Rs 75,000 ~ 75 Thou+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2982
2981,Vinothsavariremijeas C.,JAYANKONDAM,ARIYALUR,IND,Chinnappan,36,"150Jayangondam constituency, at Serial no 19 in Part no 276","Business ,Grocery, TV Showroom ,Agriculture",Business Trading Food With All Products,,,,1,10th Pass,36,1,"Rs 4,69,50,132 ~ 4 Crore+","Rs 2,25,58,374 ~ 2 Crore+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2981
2577,A.Esakkiappan,CHENGALPATTU,CHENGALPATTU,IND,M.Arunachalam,44,"Tambaram constituency, at Serial no 613 in Part no 291",Four Wheeler Vehicle Seller,School Teacher,,,,0,Graduate Professional,44,0,"Rs 10,63,500 ~ 10 Lacs+","Rs 90,000 ~ 90 Thou+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2577
23,Amutha.N,CHENGALPATTU,CHENGALPATTU,Naam Tamilar Katchi,KANAMBIYAR,56,"Thittakudi constituency, at Serial no 316 in Part no 242",Journalist,NA,,,,0,Graduate,56,0,"Rs 23,63,000 ~ 23 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=23
2583,C.Vimalraj,CHENGALPATTU,CHENGALPATTU,IND,Chellappan,34,"Chengalpattu constituency, at Serial no 373 in Part no 291",Labour,House Wife,,,,0,Post Graduate,34,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2583
2579,G. Christopher,CHENGALPATTU,CHENGALPATTU,IND,George Victor,29,"Chengalpattu constituency, at Serial no 808 in Part no 410",Advocate,House Wife,,,,0,Graduate Professional,29,0,"Rs 32,000 ~ 32 Thou+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2579
2578,Karthick.A,CHENGALPATTU,CHENGALPATTU,IND,Anbazhagan,33,"Chengalpattu constituency, at Serial no 800 in Part no 283",Business,NIL,,,,0,Others,33,0,"Rs 29,71,000 ~ 29 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2578
1152,Karthikdhandapani,CHENGALPATTU,CHENGALPATTU,DMK,M.K.DHANDAPANI,43,"32 Chengalpattu constituency, at Serial no 288 in Part no 154",Business,Business,,,,0,Graduate Professional,43,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1152
2576,M.Anandan,CHENGALPATTU,CHENGALPATTU,IND,K.Madhurai,41,"Chengalpattu constituency, at Serial no 309 in Part no 148",Real Estate,House Wife,,,,0,10th Pass,41,0,"Rs 1,40,000 ~ 1 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2576
1140,M.Gajendran,CHENGALPATTU,CHENGALPATTU,AIADMK,Marimuthu,47,"32 Chengalpattu constituency, at Serial no 645 in Part no 73",Director Of MSGAJA Properties Pvt Ltd & MSGAJAA Homes Pvt Ltd.,Director Of MSGAJA Properties Pvt Ltd & MSGAJAA Homes Pvt Ltd.,,,,1,Graduate,47,1,"Rs 20,82,84,190 ~ 20 Crore+","Rs 8,99,18,716 ~ 8 Crore+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1140
501,S. Saravanan,CHENGALPATTU,CHENGALPATTU,BSP,Shanmugam D,46,"Tirupur constituency, at Serial no 226 in Part no 120",Real Estate,Government Servant (Assistance Category),,,,0,Post Graduate,46,0,"Rs 33,59,349 ~ 33 Lacs+","Rs 10,95,000 ~ 10 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=501
2575,S. Thiyagarajan,CHENGALPATTU,CHENGALPATTU,Tamilaga Vettri Kazhagam,Soundarajan,37,"Chengalpattu constituency, at Serial no 306 in Part no 76",Self Employed,House Wife,,,,0,Graduate Professional,37,0,"Rs 81,48,036 ~ 81 Lacs+","Rs 2,90,000 ~ 2 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2575
2580,S.Delhi Babu,CHENGALPATTU,CHENGALPATTU,IND,Sadaiyappan,51,"Chengalpattu constituency, at Serial no 456 in Part no 133",Labour,NIl,,,,0,Post Graduate,51,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2580
2574,S.Selvam Alias Chella,CHENGALPATTU,CHENGALPATTU,Tamizhaga Vaazhvurimai Katchi,S.Sekar,44,"Chengalpattu constituency, at Serial no 1107 in Part no 384",Advocate,NIL,,,,1,Graduate Professional,44,1,"Rs 44,06,947 ~ 44 Lacs+","Rs 32,90,000 ~ 32 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2574
2581,T. Prem Balaji,CHENGALPATTU,CHENGALPATTU,IND,K.Thambukannu,51,"Chengalpattu constituency, at Serial no 448 in Part no 410",Building Consulting,House Wife,,,,0,Graduate Professional,51,0,"Rs 90,419 ~ 90 Thou+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2581
2582,V. Ramakrishnan,CHENGALPATTU,CHENGALPATTU,IND,R.Venkatesan,45,"Chengalpattu constituency, at Serial no 533 in Part no 353",Social Service & Driver,Typist (Govt office Temporary Work),,,,1,Others,45,1,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2582
681,Ambethkar. S,CHEYYUR (SC),CHENGALPATTU,IND,Subrayan,46,"34 Cheyyur constituency, at Serial no 173 in Part no 263",Daily Wages,House Wife,,,,0,5th Pass,46,0,"Rs 52,000 ~ 52 Thou+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=681
2895,Arun. C,CHEYYUR (SC),CHENGALPATTU,IND,Chellappan,37,"32 Chengalpattu constituency, at Serial no 307 in Part no 366",Arun Cabs & Travels,Nil,,,,0,Others,37,0,"Rs 12,500 ~ 12 Thou+","Rs 55,000 ~ 55 Thou+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2895
2896,Ezhil. E,CHEYYUR (SC),CHENGALPATTU,IND,Eagambaram,34,"34 Cheyyur constituency, at Serial no 227 in Part no 270",Daily Wages,House wife,,,,0,10th Pass,34,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2896
2893,Gangadurai. K,CHEYYUR (SC),CHENGALPATTU,Tamizhaga Vaazhvurimai Katchi,Krishnan,39,"34 Seyyur constituency, at Serial no 294 in Part no 65",Agriculture Wages,Agricultural Wages,,,,0,8th Pass,39,0,"Rs 18,00,500 ~ 18 Lacs+","Rs 9,65,000 ~ 9 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2893
2898,Gopikrishna. D,CHEYYUR (SC),CHENGALPATTU,IND,Dhanapal,39,"34 Seyyur constituency, at Serial no 418 in Part no 154",Advocate,Nil,,,,0,Graduate Professional,39,0,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2898
2900,Jegan. M,CHEYYUR (SC),CHENGALPATTU,IND,Murugan,31,"34 Seyyur constituency, at Serial no 329 in Part no 153",Spouse Profession: Nil,Nil,,,,0,10th Pass,31,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2900
2897,Krishnakanth. E,CHEYYUR (SC),CHENGALPATTU,IND,ELUMALAI,32,"34 Seyyur constituency, at Serial no 67 in Part no 154",Spouse Profession: Nil,Nil,,,,0,10th Pass,32,0,"Rs 81,000 ~ 81 Thou+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2897
846,Mohan Raja.M.G.K,CHEYYUR (SC),CHENGALPATTU,Tamilaga Vettri Kazhagam,Kanagasabai,46,"Cheyyur constituency, at Serial no 225 in Part no 494",Contractor,House Wife,,,,0,Others,46,0,"Rs 1,04,42,500 ~ 1 Crore+","Rs 56,87,000 ~ 56 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=846
2899,Raja. K,CHEYYUR (SC),CHENGALPATTU,IND,E.KUPPAN,40,"34 Seyyur constituency, at Serial no 546 in Part no 255",Auto Driver,Nil,,,,0,10th Pass,40,0,"Rs 9,05,500 ~ 9 Lacs+","Rs 2,03,000 ~ 2 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2899
263,Rajasekar. E,CHEYYUR (SC),CHENGALPATTU,AIADMK,Late Ethirajan,64,"Sholinganallur constituency, at Serial no 468 in Part no 600","Real Estate, Rental Income and Vehicle Hiring",Deceased,,,,0,10th Pass,64,0,"Rs 68,63,65,152 ~ 68 Crore+","Rs 24,05,82,181 ~ 24 Crore+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=263
847,Sinthanai Selvan,CHEYYUR (SC),CHENGALPATTU,Viduthalai Chiruthaigal Katchi,Mr. Mahimainathan,61,"74, Villupuram, constituency, at Serial no 2 in Part no 252",Full-time political work,Agriculture,,,,0,Others,61,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=847
26,Swathilakshmi Sekar,CHEYYUR (SC),CHENGALPATTU,Naam Tamilar Katchi,Praveen Kumar,31,"34 - Cheyyur constituency, at Serial no 10 in Part no 105",Private Institute,Business agent,,,,0,Graduate,31,0,"Rs 12,46,200 ~ 12 Lacs+","Rs 22,33,634 ~ 22 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=26
849,Ezhil Katharine Ezhilmalai,MADURANTAKAM (SC),CHEYYUR (SC),Tamilaga Vettri Kazhagam,Ezhilmalai,53,"31-Tambaram constituency, at Serial no 84 in Part no 429",Sef Employed,Doctor,,,,1,Post Graduate,53,1,"Rs 4,96,35,000 ~ 4 Crore+","Rs 70,00,000 ~ 70 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=849
85,G.Janakiraman,MADURANTAKAM (SC),CHEYYUR (SC),Naam Tamilar Katchi,K.Govindasamy,33,"MADURANTAKAM constituency, at Serial no 340 in Part no 260",Public Relations Officer,Fuel Saled Office (Business),,,,0,Post Graduate,33,0,"Rs 41,84,358 ~ 41 Lacs+","Rs 28,43,000 ~ 28 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=85
2903,M.Kadirvel,MADURANTAKAM (SC),CHEYYUR (SC),IND,Mariyappan,62,"35 Madurantakam constituency, at Serial no 864 in Part no 107",Daily Wages,House Wife,,,,0,Post Graduate,62,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2903
848,Maragatham Kumaravel.K,MADURANTAKAM (SC),CHEYYUR (SC),AIADMK,S Kumaravel,44,"33 Thiruporur constituency, at Serial no 640 in Part no 118",Political & House Wife,Business/OM Muruga Traders,,,,0,Post Graduate,44,0,"Rs 3,07,65,145 ~ 3 Crore+","Rs 20,12,704 ~ 20 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=848
850,Neelam E.Ramkumar,MADURANTAKAM (SC),CHEYYUR (SC),BSP,L Ekambaram,36,"35 Madurantakam constituency, at Serial no 529 in Part no 269",Agriculture,House wife,,,,0,Graduate Professional,36,0,"Rs 14,26,000 ~ 14 Lacs+","Rs 5,62,624 ~ 5 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=850
2901,R.Sugan,MADURANTAKAM (SC),CHEYYUR (SC),All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Ramadass,39,"35 Madurantakam constituency, at Serial no 1046 in Part no 32",Daily Wages,House Wife,,,,0,Others,39,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2901
2904,Ranjitham.M,MADURANTAKAM (SC),CHEYYUR (SC),IND,Muthu,49,"35 Madurantakam constituency, at Serial no 155 in Part no 123",House Wife,Daily Wages,,,,0,8th Pass,49,0,"Rs 51,06,000 ~ 51 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2904
1355,S.Amulu Ponmalar,MADURANTAKAM (SC),CHEYYUR (SC),DMK,G. Sivakumar,48,"35, Madhurantakam constituency, at Serial no 333 in Part no 200",Agriculture and self-employment,Agriculture and self-employment,,,,0,8th Pass,48,0,"Rs 8,47,95,000 ~ 8 Crore+","Rs 3,55,85,812 ~ 3 Crore+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1355
3331,A.Thangaraj,PALLAVARAM,MADURANTAKAM (SC),Puthiya Tamilagam,Aruraj,65,"30 Pallavarm constituency, at Serial no 237 in Part no 143",Self Employed,Government Service,,,,0,Graduate,65,0,"Rs 1,15,28,400 ~ 1 Crore+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3331
3334,B.Rajeswari,PALLAVARAM,MADURANTAKAM (SC),Naadaalum Makkal Katchi,S C Balasubramanian,50,"30 Pallavarm constituency, at Serial no 637 in Part no 59",Proprietor of RAC Tech,Spiritual Work/Social Work,,,,0,12th Pass,50,0,"Rs 46,34,594 ~ 46 Lacs+","Rs 26,55,367 ~ 26 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3334
756,D.Murugesan,PALLAVARAM,MADURANTAKAM (SC),Desiya Murpokku Dravida Kazhagam,E Durai Pandian,62,"30 Pallavarm constituency, at Serial no 200 in Part no 36",Pensioner (Former Member of legislative Assembly,Housewife,,,,0,8th Pass,62,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=756
117,Dr.R.Karthikeyan,PALLAVARAM,MADURANTAKAM (SC),Naam Tamilar Katchi,V.RAMAMOORTHY,38,"Kilvelur constituency, at Serial no 492 in Part no 200",Dentist Maxillafacial Surgeon,Dentist,,,,0,Post Graduate,38,0,"Rs 8,57,70,515 ~ 8 Crore+","Rs 71,93,263 ~ 71 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=117
3345,G.John Pandian,PALLAVARAM,MADURANTAKAM (SC),IND,Mr.T.Govindan,46,"30, Pallavaram constituency, at Serial no 491 in Part no 144",Self Employment,Government job,,,,0,12th Pass,46,0,"Rs 17,25,140 ~ 17 Lacs+","Rs 1,63,000 ~ 1 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3345
3332,G.Rameshbabu,PALLAVARAM,MADURANTAKAM (SC),Indhu Dravida Makkal Katchi,Govindarajulu,52,"30 Pallavarm constituency, at Serial no 529 in Part no 428",Cable TV operator (Solar Cable Vision),Homemaker,,,,2,12th Pass,52,2,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3332
302,J.Kamatchi,PALLAVARAM,MADURANTAKAM (SC),Tamilaga Vettri Kazhagam,Jayakrishnan,44,"27 Sholinganallur constituency, at Serial no 554 in Part no 679","Business including real estate, supermarket, restaurant and cinema production.","Business including real estate, supermarket, restaurant, furniture shop and cinema production.",,,,0,12th Pass,44,0,"Rs 1,06,99,98,452 ~ 106 Crore+","Rs 47,90,10,874 ~ 47 Crore+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=302
3330,M.L.Ravi,PALLAVARAM,MADURANTAKAM (SC),Desiya Makkal Sakthi Katchi,Lakshmipathy,60,"18 Horbur constituency, at Serial no 223 in Part no 44",Advocate,Self employed,,,,0,Post Graduate,60,0,"Rs 1,38,83,300 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3330
304,N.Bharathi,PALLAVARAM,MADURANTAKAM (SC),BSP,Mr.S. Neelakandan,25,"30 Chengalpattu constituency, at Serial no 350 in Part no 114",Nil,Nil,,,,0,Graduate,25,0,"Rs 1,05,500 ~ 1 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=304
3342,N.Ramkumar,PALLAVARAM,MADURANTAKAM (SC),IND,Nagarajan,35,"Pallavaram constituency, at Serial no 525 in Part no 183",Self Employement,Not Married,,,,0,Others,35,0,"Rs 92,05,000 ~ 92 Lacs+","Rs 1,50,000 ~ 1 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3342
3341,P.Ravichandran,PALLAVARAM,MADURANTAKAM (SC),IND,Mr.G Ponnusamy,47,"Pallavaram constituency, at Serial no 322 in Part no 112",Advocate,House Wife,,,,0,Graduate Professional,47,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3341
303,R.Jawahar,PALLAVARAM,MADURANTAKAM (SC),IND,Ramalingam,61,"30 Pallavarm constituency, at Serial no 534 in Part no 384",Social worker,Housewife,,,,0,Post Graduate,61,0,"Rs 70,55,755 ~ 70 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=303
3340,R.Muthukumar,PALLAVARAM,MADURANTAKAM (SC),IND,Ramakrishna,49,"Pallavaram constituency, at Serial no 30 in Part no 0",Private,NIL,,,,0,10th Pass,49,0,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3340
